time,F7,AF7,AF8,F8,MARKER
0,-0.13406976065429235,-56.482975044426155,-32.64283818241418,-1.8522813546066352,emotionalRecognitionStart
2,-0.13000256134131377,5173.230669093272,13723.927420982463,9086.407448561935,
4,-0.12591670644978584,10581.53114534282,28275.921587426055,18504.911714700404,
6,-0.12180571298416056,16206.819613645363,43315.88599966822,27891.703166880667,
8,-0.11766499616097782,21876.980272842044,56837.93912428485,35762.462612782794,
10,-0.11349331121045629,27246.122928355722,65401.18416440055,39599.2431112812,
12,-0.109294042497834,31923.732242227765,65269.37158421773,36589.18009581616,
14,-0.10507568041045662,35640.51813653468,53986.5479507076,24808.498615629735,
16,-0.10085100873415466,38385.531707056405,31619.904061950507,4287.287221062714,
18,-0.09663499971322397,40460.746648965316,1019.3742713506964,-22613.765767038378,
20,-0.09244193800747218,42419.265682024095,-33002.56825759497,-51682.891878050075,
22,-0.08828262099509285,44889.47179202407,-65116.349210116445,-77977.778538904,
24,-0.08416247777866714,48340.423573062966,-90931.00373187869,-97269.57309244967,
26,-0.08008113690544381,52881.922211203935,-108023.96026199158,-107438.65434879661,
28,-0.07603350058384689,58183.537140555025,-116354.37141541464,-109305.76811534615,
30,-0.07201193960507857,63545.876818894336,-118046.02235435111,-106467.72762102276,
32,-0.06800895335812336,68098.07406918317,-116641.42874359064,-104168.7089425922,
34,-0.06401959585903623,71056.02570125334,-116008.38835736761,-107645.25144021699,
36,-0.060043113197774646,71962.22856364654,-119155.22394843862,-120423.58839208177,
38,-0.056083481695789146,70832.20804205629,-127300.38136188107,-143012.36440650473,
40,-0.05214879294478628,68154.87049127516,-139562.77743474298,-172521.8736915609,
42,-0.04824965242067954,64742.6811582861,-153451.37921284634,-203571.19838931508,
44,-0.04439693305746976,61486.49618894735,-165961.30244048187,-230208.69194678444,
46,-0.040599360125684304,59097.77153088748,-174778.5480882547,-247997.66476025226,
48,-0.036861489809160236,57904.86224358277,-179074.9678645358,-255424.68699887552,
50,-0.03318264249686409,57746.54196188669,-179616.12326834636,-254186.36365301887,
52,-0.029557210575276646,57998.04610584169,-178228.39913843863,-248317.74883623654,
54,-0.02597645216550873,57745.12622806205,-176921.412165022,-242520.89492219474,
56,-0.022431445354594598,56070.650514318724,-177059.54148740787,-240413.14094051195,
58,-0.01891643147180957,52371.51676659482,-178902.98696587046,-243412.35635076452,
60,-0.015431493481231467,46614.719418603076,-181630.50860177676,-250515.25700255454,
62,-0.011983555567870043,39453.259733133666,-183713.04372936988,-258776.1393424989,
64,-0.008585117717576694,32138.110627814094,-183367.16980612164,-264219.4265504187,
66,-0.005250870692495925,26207.969409075675,-178870.9356866358,-262967.5607500425,
68,-0.0019931415273544786,23026.943976446135,-168716.53244876207,-252263.29999956378,
70,0.0011823100157286844,23321.15008740399,-151722.59657427183,-231040.61170930162,
72,0.0042785539333091245,26879.250679551566,-127206.25308862298,-199950.30779109578,
74,0.007306756732803179,32527.39241059387,-95177.5518685038,-160988.9940116807,
76,0.010282411328629105,38401.9526425376,-56422.807142790276,-116880.16652142137,
78,0.013219641528372452,42451.74137955051,-12383.006950778186,-70357.53591534695,
80,0.01612554469460098,43024.321544602724,35124.702383005635,-23653.79583718103,
82,0.018996716331320686,39356.88052378376,84170.60318319505,21534.031661638208,
84,0.02181946488760244,31823.49575129118,132800.19636866887,63725.43521891689,
86,0.02457394183453599,21876.588456066198,178952.57024750265,101416.56735869548,
88,0.027240924587645845,11710.81053998627,220409.08428325504,133180.83456097078,
90,0.02980886513104233,3726.493942993071,254987.60459664775,157980.78084918225,
92,0.03227852890868649,-105.96724534594586,280984.52365061484,175417.7940799811,
94,0.03466327868699459,1174.4312151103993,297626.4415442476,185778.00194721587,
96,0.03698459984897356,7210.832459947487,305255.88929900364,189890.1242024136,
98,0.03926427302838035,16455.791675485827,305151.3086479094,188880.71441012208,
100,0.04151598725619653,26702.2622796407,299098.5370280189,183928.92465739854,
102,0.04373957976432931,35782.03165028715,288932.2278920564,176106.60931850376,
104,0.045920268143802095,42145.04745831578,276222.2233532071,166340.29412637214,
106,0.04803345080503055,45142.478999888604,262166.19725772407,155473.22050994742,
108,0.05005353298895789,44993.178177046095,247648.55248765048,144362.5860302827,
110,0.05196359588449236,42524.678711343506,233367.6089339659,133926.0336981633,
112,0.053762232472970045,38821.83367909627,219922.08988991496,125067.0537261438,
114,0.05546478041225762,34903.39610906724,207792.5602788934,118479.52098513303,
116,0.057098209728844204,31503.714606225367,197239.52263589893,114425.13140698215,
118,0.05869133844498117,28985.925522943897,188207.56207470383,112613.06486837557,
120,0.06026393129066102,27370.921067153668,180322.35334800094,112254.94458314983,
122,0.06181882778271731,26441.294079721618,173007.42880140405,112280.90261179823,
124,0.06334025702118305,25872.49278820089,165682.73725120106,111649.79337762772,
126,0.06479924163501774,25350.64808714549,157970.67599719245,109660.93906267507,
128,0.06616429386454889,24651.736986024753,149831.07502330665,106157.1257769686,
130,0.06741349251804678,23673.711295310917,141569.88212614707,101531.71896609926,
132,0.06854334497851426,22427.276764351805,133711.41257565422,96536.54417686076,
134,0.06957090559894562,20999.634044494833,126777.83810551441,91976.49869959312,
136,0.07052809394015587,19508.213687834672,121060.46026038376,88410.39402662136,
138,0.07145012723378641,18059.27874994608,116474.83578015646,85960.93144888605,
140,0.07236231780400355,16721.06395046,112560.40767715406,84298.71542310795,
142,0.07327026039420022,15514.877434015518,108628.8267284754,82804.40239081105,
144,0.07415729297455338,14422.027289027823,104007.40584149654,80836.75110958185,
146,0.07499043558465568,13400.70712669007,98286.41054629286,77990.68823022996,
148,0.07573278198901646,12405.581750883466,91475.03400532829,74249.53167871873,
150,0.07635777062538116,11403.630793097056,84004.65608331772,69988.21302595685,
152,0.07685990125281639,10382.221231020232,76577.56465009582,65830.83452624004,
